Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
jgy370_left_bracket_link,0.00799101681086403,1.20351272847319E-05,0.0079534366911595,0,0,0,0.00763740740798211,2.52343549283644E-06,5.96635897504527E-10,-4.73266483438878E-07,1.77735707033072E-06,1.00680890550849E-09,2.02485589053552E-06,0,0,0,0,0,0,package://urdf/meshes/jgy370_left_bracket_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/jgy370_left_bracket_link.STL,,jgy-370 bracket-1,Origin_jgy370_bracket_joint,,jgy370_left_bracket_joint,fixed,0.0084,-0.065191,0.02314,0,0,0,motor_chasiss_left_link,0,0,0,,,,,,,,,,,,
jgy370_left_motor_link,-0.0196305360935168,-0.000889548351063216,-0.0114448584996521,0,0,0,0.0469553009579176,5.27476143860159E-06,-1.11213181840589E-06,-1.04038277110407E-06,2.28540478207139E-05,-7.47629223425561E-08,2.39569333211707E-05,0,0,0,0,0,0,package://urdf/meshes/jgy370_left_motor_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/jgy370_left_motor_link.STL,,JGY-370-1,Origin_jgy370_motor_joint,,jgy370_left_motor_joint,fixed,0.0045,-0.0085836,-0.003,1.5708,0,-1.5708,jgy370_left_bracket_link,0,0,0,,,,,,,,,,,,
left_wheel_link,0.0216100813832755,3.41569242508222E-11,1.1758732876288E-10,0,0,0,0.0351746986250551,2.57857822066137E-05,-3.36042513749521E-14,-1.78217587898553E-14,1.52369212431957E-05,-4.72653838789774E-10,1.5237227860926E-05,0,0,0,0,0,0,package://urdf/meshes/left_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf/meshes/left_wheel_link.STL,,65mm蓝色轮胎总装-实际外径68mm-1,Origin_left_wheel_joint,Axis_left_wheel_joint,left_wheel_joint,continuous,0,0,0,-1.5735,-1.5708,-1.4454,jgy370_left_motor_link,1,0,0,,,,,,,,,,,,
dunno_right_link,2.4980018054066E-16,0.00506144799893879,0.000241807167000188,0,0,0,0.104682816808477,8.34861768211577E-05,3.90425541888825E-22,-1.42470528394582E-20,0.00016641673788092,1.85325542540547E-08,8.47038245553948E-05,0,0,0,0,0,0,package://urdf/meshes/dunno_right_link.STL,0.196078431372549,0,0.196078431372549,1,0,0,0,0,0,0,package://urdf/meshes/dunno_right_link.STL,,Dunno-2,Origin_dunno_right_joint,Axis_dunno_right_joint,dunno_right_joint,fixed,0.168352791086678,-0.000757249802248674,-0.0161799664624084,3.14159265358979,0,3.14159265358979,mid_plate_link,0,0,0,,,,,,,,,,,,
dunno2_right_link,8.32667268468867E-17,-0.00741844415061881,5.72458747072346E-17,0,0,0,0.108723964070417,8.49055002057129E-05,5.28694922601241E-23,8.470329472543E-22,0.000167970170747351,1.59080982823498E-22,8.49055002057129E-05,0,0,0,0,0,0,package://urdf/meshes/dunno2_right_link.STL,0.501960784313725,0,0.501960784313725,1,0,0,0,0,0,0,package://urdf/meshes/dunno2_right_link.STL,,Dunno 2-2,Origin_dunno2_right_joint,Axis_dunno2_right_joint,dunno2_right_joint,revolute,0,-0.00342,0,0,0.0215470920545182,0,dunno_right_link,0,1,0,0,0,0,6.283,,,,,,,,
motor_chasiss_right_link,-0.0128848549293888,-0.0269711955666296,-0.0211552665578673,0,0,0,0.122322077396445,0.00016436256182528,-2.45708877203608E-05,6.00279172604831E-06,0.000169274602144088,-3.06059367932522E-05,0.000191947787654956,0,0,0,0,0,0,package://urdf/meshes/motor_chasiss_right_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/motor_chasiss_right_link.STL,,Motor_Chasiss_Left-3,Origin_motor_chasiss_right_joint,Axis_motor_chasiss_right_joint,motor_chasiss_right_joint,fixed,0,-0.0123,0,0,0,0,dunno2_right_link,0,0,0,,,,,,,,,,,,
jgy370_right_bracket_link,0.00799101681086409,1.20351272848429E-05,-0.00795343669115924,0,0,0,0.00763740740798211,2.52343549283644E-06,5.96635897503469E-10,4.73266483438879E-07,1.77735707033072E-06,-1.00680890550929E-09,2.02485589053552E-06,0,0,0,0,0,0,package://urdf/meshes/jgy370_right_bracket_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/jgy370_right_bracket_link.STL,,jgy-370 bracket-2,Origin_jgy370_right_bracket_joint,Axis_jgy370_right_bracket_joint,jgy370_right_bracket_joint,fixed,0.00840000000000035,-0.0651914165294201,-0.0231399999999998,0,0,0,motor_chasiss_right_link,0,0,0,,,,,,,,,,,,
jgy370_right_motor_link,-0.01963053583548,-0.000889546651315527,0.0114448587768458,0,0,0,0.0469553018320981,5.27476160637528E-06,-1.11213294039094E-06,1.0403826730494E-06,2.28540479723449E-05,7.47628246501351E-08,2.39569337930076E-05,0,0,0,0,0,0,package://urdf/meshes/jgy370_right_motor_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/jgy370_right_motor_link.STL,,JGY-370-2,Origin_jgy370_right_motor_joint,Axis_jgy370_right_motor_joint,jgy370_right_motor_joint,fixed,0.0045000000000015,-0.00858363496335966,0.0030000000000004,-1.5707963267949,0,-1.57079632679488,jgy370_right_bracket_link,0,0,0,,,,,,,,,,,,
right_wheel_link,0.0181952854746237,1.74137601040292E-11,-9.97114335543614E-11,0,0,0,0.0351747320375377,2.57858079017855E-05,-2.98861980030481E-14,1.60235805321579E-14,1.52369358804397E-05,4.7267782538747E-10,1.52372423889528E-05,0,0,0,0,0,0,package://urdf/meshes/right_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf/meshes/right_wheel_link.STL,,65mm蓝色轮胎总装-实际外径68mm-2,Origin_right_wheel_joint,Axis_right_wheel_joint,right_wheel_joint,continuous,0,0,-0.00341479648887261,3.01888613534361,1.5707963267949,0,jgy370_right_motor_link,1,0,0,,,,,,,,,,,,
caster_wheel_left_chassis_link,0,0.0221591237109398,6.93889390390723E-17,0,0,0,0.146461587822785,9.8592021651556E-05,2.31400376872536E-20,-1.15312531681586E-20,0.000211841543244386,2.70056881482744E-21,0.000141186868185475,0,0,0,0,0,0,package://urdf/meshes/caster_wheel_left_chassis_link.STL,0.196078431372549,0,0.196078431372549,1,0,0,0,0,0,0,package://urdf/meshes/caster_wheel_left_chassis_link.STL,,Caster_Wheel_Chasiss-1,Origin_caster_wheel_left_joint2,Axis_caster_wheel_left_joint,caster_wheel_left_joint,fixed,-0.161647208913321,-0.0988200335375916,-0.111957249802249,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
part2_left_link,-2.88721053839924E-06,0.00196932950383463,-8.66163161510058E-06,0,0,0,0.00224120615721976,1.89927903443875E-07,4.5662766646317E-12,-4.10145299104358E-14,3.44093281339641E-07,1.3698829993904E-11,1.57647203936253E-07,0,0,0,0,0,0,package://urdf/meshes/part2_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/part2_left_link.STL,,Part2-2,Origin_part2_left_joint2,Axis_part2_left_joint,part2_left_joint,fixed,0,0.0230900000000001,0,0,0,0,caster_wheel_left_chassis_link,0,0,0,,,,,,,,,,,,
part3_left_link,-1.32358469850935E-07,-0.00564186367389928,0.00405808918182125,0,0,0,0.00165039593390477,1.6730961564898E-07,1.21622948959522E-11,-2.84450856531652E-11,2.24369157173445E-07,3.10241503992514E-08,1.79235355076834E-07,0,0,0,0,0,0,package://urdf/meshes/part3_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/part3_left_link.STL,,Part3-2,Origin_part3_left_joint2,Axis_part3_left_joint2,part3_left_joint,revolute,0,0,0,0,0,0,part2_left_link,0,1,0,0,0,0,6.283,,,,,,,,
left_caster_wheel_link,-0.000230000000000036,-1.38777878078145E-17,-1.38777878078145E-17,0,0,0,0.0107979813338499,1.21306823006879E-06,-1.50653526026339E-39,2.41069052585453E-25,7.8110154936809E-07,-2.92963160330296E-41,7.8110154936809E-07,0,0,0,0,0,0,package://urdf/meshes/left_caster_wheel_link.STL,1,0,0,1,0,0,0,0,0,0,package://urdf/meshes/left_caster_wheel_link.STL,,Part1-2,Origin_left_caster_wheel_joint2,Axis_left_caster_wheel_joint2,left_caster_wheel_joint,continuous,0,-0.01980453988,0.0122727243317851,0,0,0,part3_left_link,1,0,0,,,,,,,,,,,,
caster_wheel_right_chassis_link,1.38777878078145E-16,0.0189591237109398,0,0,0,0,0.146461587822785,9.85920216515561E-05,1.92335806841099E-20,1.29347944907279E-21,0.000211841543244386,5.36241257892295E-22,0.000141186868185475,0,0,0,0,0,0,package://urdf/meshes/caster_wheel_right_chassis_link.STL,0.196078431372549,0,0.196078431372549,1,0,0,0,0,0,0,package://urdf/meshes/caster_wheel_right_chassis_link.STL,,Caster_Wheel_Chasiss-2,Origin_caster_wheel_right_chassis_joint2,Axis_caster_wheel_right_chassis_joint,caster_wheel_right_chassis_joint,fixed,0.178352791086677,-0.0988200335375916,-0.108757249802249,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
part2_right_link,-2.88721053826047E-06,0.00196932950383463,8.66163161518385E-06,0,0,0,0.00224120615721976,1.89927903443875E-07,4.56627666463197E-12,4.10145299088208E-14,3.44093281339641E-07,-1.36988299939037E-11,1.57647203936253E-07,0,0,0,0,0,0,package://urdf/meshes/part2_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/part2_right_link.STL,,Part2-3,Origin_part2_right_joint2,Axis_part2_right_joint,part2_right_joint,fixed,0,0.01989,0,0,0,0,caster_wheel_right_chassis_link,0,0,0,,,,,,,,,,,,
part3_right_link,1.32358470017468E-07,-0.00564186367389925,-0.00405808918182121,0,0,0,0.00165039593390477,1.6730961564898E-07,-1.21622948951581E-11,-2.84450856539066E-11,2.24369157173445E-07,-3.10241503992519E-08,1.79235355076833E-07,0,0,0,0,0,0,package://urdf/meshes/part3_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/part3_right_link.STL,,Part3-3,Origin_part3_right_joint2,Axis_part3_right_joint2,part3_right_joint,revolute,0,0,0,0,0,0,part2_right_link,0,1,0,0,0,0,6.283,,,,,,,,
right_caster_wheel_link,-0.00022999999999998,0,5.55111512312578E-17,0,0,0,0.0107979813338499,1.21306823006879E-06,1.50653526026339E-39,-2.41069052585372E-25,7.8110154936809E-07,-2.92963160330252E-41,7.8110154936809E-07,0,0,0,0,0,0,package://urdf/meshes/right_caster_wheel_link.STL,1,0,0,1,0,0,0,0,0,0,package://urdf/meshes/right_caster_wheel_link.STL,,Part1-3,Origin_right_caster_wheel_joint2,Axis_right_caster_wheel_joint2,right_caster_wheel_joint,continuous,0,-0.01980453988,-0.0122727243317851,0,0,0,part3_right_link,1,0,0,,,,,,,,,,,,
top_plate_link,3.98986399474666E-17,0.00149999999999999,-0.00115892116040598,0,0,0,1.1202254008004,0.00801663456473379,1.28373577283668E-20,-1.49937140105413E-18,0.0311441206217143,-3.31479919783603E-21,0.0231291663950817,0,0,0,0,0,0,package://urdf/meshes/top_plate_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/top_plate_link.STL,,Top_Plate-1,Origin_top_plate_joint,,top_plate_joint,fixed,0.0083528,-0.00096054,0.094243,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
rp_lidar_a1_link,-0.0784929259777178,0.744427366455819,0.13345045586875,0,0,0,0.0730825341704335,1.95802659417523E-05,-4.28335826784664E-07,1.04040720993425E-07,4.14186231878389E-05,-9.38851142336248E-09,2.41258514379279E-05,0,0,0,0,0,0,package://urdf/meshes/rp_lidar_a1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf/meshes/rp_lidar_a1_link.STL,,RP-lidar-A1-1,Origin_rp_lidar_a1_joint,,rp_lidar_a1_joint,fixed,0.1303,-0.71669,0.13725,3.1416,-1.5207,3.1416,top_plate_link,0,0,0,,,,,,,,,,,,
